Exp,Date,Angle,Start_Traffic,Mid_Traffic,End_Traffic,Traffic_Mean,Prey,Mu,Bidirection,Prey_Prop,A,Area_Scaling_Factor,SlipFalls_Start,SlipFalls_End,Stable_struct,Used_for_MEM,Used_for_Slips_Falls,Used_for_Growth_Curves,Start_Ants_L,Start_Ants_R,Start_Ants_Total,Mid_Ants_L,Mid_Ants_R,Mid_Ants_Total,End_Ants_L,End_Ants_R,End_Ants_Total,Total_L_Count,Total_R_Count,Prop_L,Prop_R,Model_Fit_IDX,,Ants_Crossing_0_120s,Ants_Joining_0_120s,Total_Slip_Join,P_Slip,P_S_S,P_Slip_Mean_Traffic,,,Rnd_Seed_Multistart,PcSS_Est,S_0_Est,PcSS_Lower,PcSS_Upper,S_0_Lower,S_0_Upper,,,,,,,
90_2-5_3,5-Feb-2015,90,2.50,1.03,0.73,1.42,0.055,1.37,0.7578,0.0387,29,235.983,5,2,Y,Y,Y,Y,65,10,75,19,12,31,13,9,22,97,31,0.758,0.242,46,,300,20,25,0.083,0.800,0.146,,,6,0.577,0.1442,,,,,,,,,,,
90_2-5_2,5-Feb-2015,90,4.67,6.53,6.47,5.89,0.277,5.61,0.9755,0.0470,53,235.859,16,4,Y,Y,Y,Y,139,1,140,188,8,196,190,4,194,517,13,0.975,0.025,45,,560,32,48,0.086,0.667,0.068,,,,,,,,,,,,,,,,
90_2-5_1,5-Feb-2015,90,2.97,3.37,4.67,3.67,0.303,3.36,0.9152,0.0826,86,283.603,14,1,Y,Y,Y,Y,68,21,89,96,5,101,138,2,140,302,28,0.915,0.085,44,,356,51,65,0.183,0.785,0.148,,,,,,,,,,,,,,,,
90_2-2_2,2-Feb-2015,90,0.87,1.23,1.27,1.12,0.023,1.10,0.7327,0.0205,20,301.623,2,3,Y,Y,Y,Y,19,7,26,28,9,37,27,11,38,74,27,0.733,0.267,43,,104,9,11,0.106,0.818,0.082,,,,0.3311,0.1149,0.3249,0.3343,0.1033,0.1096,,,,,,,
90_2-2_1,2-Feb-2015,90,3.17,2.83,3.30,3.10,0.210,2.89,0.9247,0.0677,74,317.651,18,6,Y,Y,Y,Y,86,9,95,77,8,85,95,4,99,258,21,0.925,0.075,42,,380,38,56,0.147,0.679,0.151,,,,0.746,0.333,0.6354,0.9439,0.26,0.3869,,,,,,,
90_2-1_2,1-Feb-2015,90,5.47,4.77,5.53,5.26,0.273,4.98,0.9429,0.0519,82,281.030,13,9,Y,Y,Y,Y,149,15,164,136,7,143,161,5,166,446,27,0.943,0.057,41,,656,64,77,0.117,0.831,0.122,,,,,,,,,,,,,,,,
90_2-1_1,1-Feb-2015,90,3.13,5.40,4.57,4.37,0.090,4.28,0.9491,0.0206,54,359.330,15,4,Y,Y,Y,Y,89,5,94,153,9,162,131,6,137,373,20,0.949,0.051,40,,376,16,31,0.082,0.516,0.059,,,,,,,,,,,,,,,,
90_1-31_2,31-Jan-2015,90,3.27,7.27,6.53,5.69,0.113,5.58,0.9531,0.0199,72,363.914,14,8,Y,Y,Y,Y,17,81,98,4,214,218,3,193,196,24,488,0.047,0.953,39,,392,48,62,0.158,0.774,0.091,,,,,,,,,,,,,,,,
90_1-23_1,23-Jan-2015,90,0.87,1.63,0.87,1.12,0.057,1.07,0.6931,0.0508,26,178.553,2,0,Y,Y,Y,Y,6,20,26,12,37,49,13,13,26,31,70,0.307,0.693,38,,104,4,6,0.058,0.667,0.045,,,,,,,,,,,,,,,,
80_2-6_1,6-Feb-2015,80,5.50,9.83,9.10,8.14,0.473,7.67,0.9959,0.0581,76,223.322,16,2,Y,Y,Y,Y,165,0,165,294,1,295,271,2,273,730,3,0.996,0.004,37,,660,58,74,0.112,0.784,0.076,,,,,,,,,,,,,,,,
80_2-5_2,5-Feb-2015,80,2.77,2.77,2.53,2.69,0.137,2.55,0.8967,0.0510,56,346.173,13,1,Y,Y,Y,Y,68,15,83,77,6,83,72,4,76,217,25,0.897,0.103,36,,332,12,25,0.075,0.480,0.077,,,,,,,,,,,,,,,,
80_2-5_1,5-Feb-2015,80,3.10,1.90,1.90,2.30,0.310,1.99,0.7778,0.1348,59,315.386,9,2,Y,Y,Y,Y,72,21,93,46,11,57,43,14,57,161,46,0.778,0.222,35,,372,30,39,0.105,0.769,0.141,,,,,,,,,,,,,,,,
80_2-2_2,2-Feb-2015,80,1.60,1.37,0.83,1.27,0.062,1.20,0.7719,0.0489,24,336.361,9,1,Y,Y,Y,Y,36,12,48,33,8,41,19,6,25,88,26,0.772,0.228,34,,192,11,20,0.104,0.550,0.132,,,,,,,,,,,,,,,,
80_2-2_1,2-Feb-2015,80,5.83,5.10,6.10,5.68,0.193,5.48,0.9217,0.0340,40,254.332,13,6,Y,Y,Y,Y,173,2,175,136,17,153,162,21,183,471,40,0.922,0.078,33,,700,49,62,0.089,0.790,0.091,,,,,,,,,,,,,,,,
80_2-1_2,1-Feb-2015,80,5.50,7.80,5.33,6.21,0.230,5.98,0.9732,0.0370,38,353.672,17,5,Y,Y,Y,Y,157,8,165,228,6,234,159,1,160,544,15,0.973,0.027,32,,660,10,27,0.041,0.370,0.036,,,,,,,,,,,,,,,,
80_2-1_1,1-Feb-2015,80,7.43,10.23,7.37,8.34,0.103,8.24,0.9840,0.0123,31,245.984,16,7,Y,Y,Y,Y,219,4,223,305,2,307,215,6,221,739,12,0.984,0.016,31,,892,7,23,0.026,0.304,0.023,,,,,,,,,,,,,,,,
